Datum,Uhrzeit,Produkt,ISIN,Referenzbörse,Ausführungsort,Anzahl,Kurs,,Wert in Lokalwährung,,Wert CHF,Wechselkurs,AutoFX-Gebühr,Transaktionsgebühren und/oder Fremdkosten,Gesamt CHF,Order-ID
13-10-2025,10:24,ISHARES MSCI ACWI UCITS ETF USD (ACC),IE00B6R52259,XET,XETA,12,90.2600,EUR,-1083.12,EUR,-1008.50,1.0740,-2.52,-2.80,-1013.82,87366eb4-83c3-41bf-a279-147cf7194c33
13-10-2025,10:23,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,LSE,MSEU,1,1416.2000,USD,-1416.20,USD,-1137.02,1.2455,-2.84,-2.80,-1142.66,68c32039-bc27-4c91-90e5-9423cabed818
13-10-2025,10:15,VANGUARD S&P 500 UCITS ETF USD ACC,IE00BFMXXD54,LSE,MSEU,10,127.5000,USD,-1275.00,USD,-1023.59,1.2456,-2.56,-2.80,-1028.95,bfa9a326-fa8b-4cb9-bfdc-a91c14364b8c
13-10-2025,10:14,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,LSE,XLON,15,163.6200,USD,-2454.30,USD,-1970.56,1.2455,-4.93,-2.80,-1978.29,7d6c78fe-6985-4471-b052-53e6dacc07d6
28-08-2025,18:12,UNITED PARCEL SERVICE INC CLASS B,US9113121068,NSY,BATS,29,86.9900,USD,-2522.71,USD,-2021.51,1.2479,-5.05,-1.88,-2028.44,fff8554c-f821-4e45-85d2-3c48892eb228
15-08-2025,15:58,NVIDIA CORPORATION,US67066G1040,NDQ,CDED,-12,179.0200,USD,2148.24,USD,1730.28,1.2416,-4.33,-1.89,1724.06,91ebbbff-edd1-4b29-9ac0-ac0383a4275b
15-08-2025,15:54,NVIDIA CORPORATION,US67066G1040,NDQ,XNAS,-4,178.2000,USD,712.80,USD,574.18,1.2414,-1.44,-1.89,570.85,18b0d02e-e387-45c7-b7c2-c709394f38dd
15-08-2025,15:52,NVIDIA CORPORATION,US67066G1040,NDQ,CDED,-5,178.8900,USD,894.45,USD,720.36,1.2417,-1.80,-1.89,716.67,c0842c8d-4416-43f0-bd1d-cdd0ab7213da
15-08-2025,15:30,UNITEDHEALTH GROUP INC,US91324P1021,NSY,XNYS,10,301.0000,USD,-3010.00,USD,-2425.21,1.2411,-6.06,-1.89,-2433.16,33f6e97f-ba61-4cef-8b9a-c61649608384
04-08-2025,18:27,BERKSHIRE HATHAWAY INC CLASS B,US0846707026,NSY,BATS,5,457.9400,USD,-2289.70,USD,-1851.33,1.2368,-4.63,-1.87,-1857.83,de4c0ec7-cffd-4445-a3af-ccee31aead5c
10-07-2025,09:04,ISHARES MSCI ACWI UCITS ETF USD (ACC),IE00B6R52259,XET,XETA,12,83.9200,EUR,-1007.04,EUR,-938.87,1.0726,-2.35,-2.80,-944.02,b654950a-7860-454f-b77c-a1f896bbdfc5
09-07-2025,19:12,BERKSHIRE HATHAWAY INC CLASS B,US0846707026,NSY,SOHO,5,476.7900,USD,-2383.95,USD,-1895.32,1.2578,-4.74,-1.87,-1901.93,2c98eae4-8aec-4779-b2be-5b52ab1352bf
03-07-2025,15:30,"NIKE, INC. CLASS B",US6541061031,NSY,XNYS,8,76.1700,USD,-609.36,USD,-484.85,1.2568,-1.21,-1.88,-487.94,4920014b-0c5f-4baa-a968-b3d482f5a6ca
26-06-2025,12:48,VANGUARD S&P 500 UCITS ETF USD ACC,IE00BFMXXD54,LSE,MSEU,27,116.9400,USD,-3157.38,USD,-2527.91,1.2490,-6.32,-2.82,-2537.05,9d5108df-7092-417d-afb6-65fba22bc3ae
26-06-2025,12:44,NOVARTIS AG,CH0012005267,SWX,JSSI,-16,96.3800,CHF,1542.08,CHF,1542.08,,0.00,-6.00,1536.08,c811cade-5a99-447f-aad0-a40e0357bf79
26-06-2025,12:43,DEUTSCHE LUFTHANSA AG,DE0008232125,XET,XETA,-167,7.0480,EUR,1177.02,EUR,1103.93,1.0662,-2.76,-4.61,1096.56,b5d6662f-f1d3-40c6-ba84-8b4466f5dbc5
26-06-2025,12:41,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,LSE,XLON,26,151.0800,USD,-3928.08,USD,-3143.76,1.2495,-7.86,-2.82,-3154.44,940b5063-ef55-468c-97cc-df1056cafff4
26-06-2025,12:37,ROCHE HOLDING AG,CH0012032048,SWX,MESI,-5,262.0000,CHF,1310.00,CHF,1310.00,,0.00,-6.00,1304.00,072fe101-3da3-4b7d-93ab-284262fc4dd8
25-06-2025,20:06,"ADVANCED MICRO DEVICES, INC.",US0079031078,NDQ,CDED,-6,142.6400,USD,855.84,USD,688.87,1.2424,-1.72,-1.88,685.26,7afbc77c-387e-4598-954e-716b4cb8ffe9
25-06-2025,20:05,INTERNATIONAL BUSINESS MACHINES CORPORATION,US4592001014,NSY,SOHO,-3,290.6000,USD,871.80,USD,701.77,1.2423,-1.75,-1.88,698.14,a5fd1b40-f0d8-4a8b-a78f-0d594a0d38c9
20-06-2025,21:55,"META PLATFORMS, INC. CLASS A",US30303M1027,NDQ,CDED,-2,682.2900,USD,1364.58,USD,1116.21,1.2225,-2.79,-1.89,1111.53,24e7fd3a-b086-4d29-ac17-c22bee7d73cf
10-04-2025,15:30,BERKSHIRE HATHAWAY INC CLASS B,US0846707026,NSY,XNYS,3,518.0000,USD,-1554.00,USD,-1304.21,1.1915,-3.26,-1.87,-1309.34,272f8a15-c792-4414-bc4c-6b61a43fa7a9
10-04-2025,15:30,NVIDIA CORPORATION,US67066G1040,NDQ,XNAS,10,109.2700,USD,-1092.70,USD,-917.06,1.1915,-2.29,-1.87,-921.22,39414159-5261-4bca-ba4f-fc5e8ef2ec49
10-04-2025,09:56,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,LSE,MSEU,1,1075.4600,USD,-1075.46,USD,-914.60,1.1759,-2.29,-2.82,-919.70,845149ee-f7d4-456b-a8f3-7518fc6a7986
09-04-2025,20:12,NVIDIA CORPORATION,US67066G1040,NDQ,ARCX,2,111.2000,USD,-222.40,USD,-190.84,1.1654,-0.48,-1.88,-193.19,419ba3a1-bfdb-460d-9f62-4ad6592fce4d
09-04-2025,19:58,"META PLATFORMS, INC. CLASS A",US30303M1027,NDQ,SOHO,2,561.8751,USD,-1123.75,USD,-959.27,1.1715,-2.40,-1.88,-963.55,ab8bee00-beba-43d4-b50a-7e2e03dd8131
28-01-2025,21:41,NVIDIA CORPORATION,US67066G1040,NDQ,CDED,10,127.3750,USD,-1273.75,USD,-1151.78,1.1059,-2.88,-1.89,-1156.55,24f5d74d-afb0-4fad-b7b4-cbd859e3b989
28-01-2025,16:08,NOVARTIS AG,CH0012005267,SWX,XSWX,16,92.5000,CHF,-1480.00,CHF,-1480.00,,0.00,-6.00,-1486.00,9724a1a6-e3d0-4df0-9fc4-2ece820e1d01
28-01-2025,15:30,"ADVANCED MICRO DEVICES, INC.",US0079031078,NDQ,XNAS,6,115.0100,USD,-690.06,USD,-624.70,1.1046,-1.56,-1.89,-628.15,ecafbb0d-78fc-42b8-b082-0737747cafcd
28-01-2025,15:30,INTERNATIONAL BUSINESS MACHINES CORPORATION,US4592001014,NSY,XNYS,3,224.3200,USD,-672.96,USD,-609.16,1.1047,-1.52,-1.89,-612.58,7f1e2042-4854-47e6-b277-4a4e8c12e9d3
28-01-2025,09:00,DEUTSCHE LUFTHANSA AG,DE0008232125,XET,XETA,167,6.2740,EUR,-1047.76,EUR,-990.98,1.0573,-2.48,-4.65,-998.10,4301cb3e-f634-4901-91f2-f6c7c453e9ad
28-01-2025,09:00,ROCHE HOLDING AG,CH0012032048,SWX,XSWX,5,279.7000,CHF,-1398.50,CHF,-1398.50,,0.00,-6.00,-1404.50,013f591d-0426-47f2-9f79-9f79c4859d95
28-01-2025,09:00,NESTLE SA,CH0038863350,SWX,XSWX,50,77.8200,CHF,-3891.00,CHF,-3891.00,,0.00,-6.00,-3897.00,beec5e26-2eac-4a99-a095-ff24d174d835
23-01-2025,09:00,BARRY CALLEBAUT AG,CH0009002962,SWX,XSWX,5,1036.0000,CHF,-5180.00,CHF,-5180.00,,0.00,-6.00,-5186.00,f5b039af-a2d6-47db-b598-851a02c1d661
12-07-2023,14:46,TATTOOED CHEF INC,US87663X1028,OTC,,110,0.1580,USD,-17.38,USD,-15.73,1.1047,0.00,,-15.73,
12-07-2023,14:46,TATTOOED CHEF INC. - CLASS A COMMON STOCK,US87663X1028,NDQ,,-110,0.1580,USD,17.38,USD,15.73,1.1047,0.00,,15.73,
20-06-2023,15:30,BERKSHIRE HATHAWAY INC CLASS B,US0846707026,NSY,XNYS,7,338.3100,USD,-2368.17,USD,-2126.46,1.1137,-5.32,-1.96,-2133.74,121e26a4-0c27-43b4-bdb5-20050905fe33
19-06-2023,09:01,THE SWATCH GROUP AG,CH0012255144,SWX,XSWX,40,49.5000,CHF,-1980.00,CHF,-1980.00,,0.00,-6.00,-1986.00,00a3ca5f-80eb-48d8-bcda-06a98e4d6f8e
18-10-2022,14:24,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI CLASS,KYG8251L1059,NSY,,-225,0.0000,USD,0.00,USD,0.00,0.9948,0.00,,0.00,
17-10-2022,07:53,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS,KYG825141032,NSY,,-425,0.0000,USD,0.00,USD,0.00,0.9948,0.00,,0.00,
24-05-2022,13:57,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,LSE,XLON,3,669.0000,USD,-2007.00,USD,-1936.77,1.0363,-4.84,-2.59,-1944.20,c662c17a-8951-48ab-abc5-f2bac548ba7a
23-05-2022,07:11,RAZER INC,KYG7397A1067,HKS,,-16000,0.0000,HKD,0.00,HKD,0.00,7.8346,0.00,,0.00,
16-05-2022,20:49,"ASANA, INC. CLASS A",US04342Y1047,NSY,EDGX,30,22.3700,USD,-671.10,USD,-672.58,0.9978,-1.68,-0.52,-674.78,f9eb4404-83e6-4acf-896a-8cc77f1bef05
16-02-2022,13:43,ELSE NUTRITION HOLDINGS INC,CA2902571041,TOR,,800,1.1700,CAD,-936.00,CAD,-678.98,1.3785,0.00,,-678.98,
16-02-2022,13:43,ELSE NUTRITION HOLDINGS INC,CA2902571041,TSV,,-800,1.1700,CAD,936.00,CAD,678.98,1.3785,0.00,,678.98,
28-06-2021,18:06,GOOD NATURED PRODUCTS INC,CA38210L1094,TSV,XTSX,300,1.0100,CAD,-303.00,CAD,-225.80,1.3419,-0.23,-2.24,-228.27,4ba3bb87-1a00-423b-8f06-3194cf2989ee
28-06-2021,18:06,GOOD NATURED PRODUCTS INC,CA38210L1094,TSV,XTSX,900,1.0100,CAD,-909.00,CAD,-677.41,1.3419,-0.68,-6.71,-684.80,4ba3bb87-1a00-423b-8f06-3194cf2989ee
28-06-2021,18:06,GOOD NATURED PRODUCTS INC,CA38210L1094,TSV,XTSX,800,1.0100,CAD,-808.00,CAD,-602.14,1.3419,-0.60,-8.16,-610.90,4ba3bb87-1a00-423b-8f06-3194cf2989ee
25-06-2021,18:59,ELSE NUTRITION HOLDINGS INC,CA2902571041,TSV,XTSX,800,2.7000,CAD,-2160.00,CAD,-1611.61,1.3403,-1.61,-8.16,-1621.38,662cac38-e040-4135-834b-caf602b8b38a
18-06-2021,16:00,BERKSHIRE HATHAWAY INC CLASS B,US0846707026,NSY,SOHO,12,274.9000,USD,-3298.80,USD,-3041.67,1.0845,-3.04,-0.59,-3045.30,081a40e8-f4a7-44d3-b25a-a07859972e49
18-06-2021,09:50,UBS SMI  ETF CHF DIS,CH0017142719,SWX,XSWX,28,123.9000,CHF,-3469.20,CHF,-3469.20,,0.00,-3.23,-3472.43,64977c6c-e7e4-4a24-9c52-aa681c09c8fb
18-06-2021,03:32,RAZER INC,KYG7397A1067,HKS,XHKG,2000,2.1000,HKD,-4200.00,HKD,-496.50,8.4591,-0.50,-0.30,-497.30,5d8b5b35-25e6-47cb-9074-9ef6d228080c
18-06-2021,03:32,RAZER INC,KYG7397A1067,HKS,XHKG,5000,2.1000,HKD,-10500.00,HKD,-1241.26,8.4591,-1.24,-0.75,-1243.25,5d8b5b35-25e6-47cb-9074-9ef6d228080c
18-06-2021,03:32,RAZER INC,KYG7397A1067,HKS,XHKG,9000,2.1000,HKD,-18900.00,HKD,-2234.27,8.4591,-2.23,-12.28,-2248.78,5d8b5b35-25e6-47cb-9074-9ef6d228080c
17-06-2021,19:50,TATTOOED CHEF INC. - CLASS A COMMON STOCK,US87663X1028,NDQ,XNAS,60,21.0500,USD,-1263.00,USD,-1158.48,1.0902,-1.16,-0.77,-1160.41,914ce5e5-505a-4bac-b39d-d92d757bd601
17-06-2021,19:45,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI CLASS,KYG8251L1059,NSY,CDED,30,10.2000,USD,-306.00,USD,-280.68,1.0902,-0.28,-0.66,-281.62,99600ce5-be19-4ad2-9046-618eb7b8ff11
16-06-2021,22:00,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI CLASS,KYG8251L1059,NSY,XNYS,82,10.1800,USD,-834.76,USD,-757.99,1.1013,-0.76,-0.30,-759.05,528d4ce8-4a9c-4b66-98d1-ac285dc039a8
16-06-2021,22:00,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI CLASS,KYG8251L1059,NSY,XNYS,18,10.1800,USD,-183.24,USD,-166.39,1.1013,-0.17,-0.07,-166.63,528d4ce8-4a9c-4b66-98d1-ac285dc039a8
16-06-2021,21:59,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI CLASS,KYG8251L1059,NSY,XNYS,95,10.1800,USD,-967.10,USD,-878.25,1.1012,-0.88,-0.90,-880.02,528d4ce8-4a9c-4b66-98d1-ac285dc039a8
16-06-2021,21:45,TATTOOED CHEF INC. - CLASS A COMMON STOCK,US87663X1028,NDQ,BATS,50,21.7000,USD,-1085.00,USD,-985.05,1.1015,-0.99,-0.73,-986.77,81bc4873-c437-47bd-b281-9f677bc0c7d6
16-06-2021,21:26,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS,KYG825141032,NSY,XNAS,25,10.4000,USD,-260.00,USD,-235.71,1.1030,-0.24,-0.09,-236.04,27d5f49a-5513-4a72-99fa-abb3e283709f
16-06-2021,21:05,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS,KYG825141032,NSY,XNAS,100,10.4000,USD,-1040.00,USD,-941.67,1.1044,-0.94,-0.36,-942.97,27d5f49a-5513-4a72-99fa-abb3e283709f
16-06-2021,20:53,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS,KYG825141032,NSY,XNAS,100,10.4000,USD,-1040.00,USD,-942.09,1.1039,-0.94,-0.36,-943.39,27d5f49a-5513-4a72-99fa-abb3e283709f
16-06-2021,20:53,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS,KYG825141032,NSY,MEMX,100,10.4000,USD,-1040.00,USD,-942.09,1.1039,-0.94,-0.36,-943.39,27d5f49a-5513-4a72-99fa-abb3e283709f
16-06-2021,20:53,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS,KYG825141032,NSY,XNAS,100,10.4000,USD,-1040.00,USD,-942.09,1.1039,-0.94,-0.91,-943.94,27d5f49a-5513-4a72-99fa-abb3e283709f
16-06-2021,20:48,CORSAIR GAMING INC,US22041X1028,NDQ,ARCX,100,33.2000,USD,-3320.00,USD,-3008.39,1.1036,-3.01,-0.91,-3012.31,6747957a-2a96-459d-94fa-f32c63499faf
